DateTime,AddedIPs,RemovedIPs
1601520723,1,12
1601521923,2,0
1601522524,2,9
1601524324,3,2
1601524923,7,0
1601526724,4,10
1601527324,0,5
1601528523,1,3
1601529723,2,0
1601530923,1,9
1601532123,0,7
1601532723,0,15
1601533324,3,0
1601533924,1,2
1601535123,0,29
1601535724,5,0
1601536324,2,0
1601536924,1,0
1601538124,5,3
1601539323,4,3
1601539923,0,26
1601541123,0,19
1601541723,1,7
1601542324,0,8
1601542923,6,0
1601543523,3,10
1601545923,11,1
1601546523,1,0
1601547723,1,7
1601548924,10,9
1601549524,6,6
1601550724,0,32
1601551323,5,7
1601551924,0,6
1601553124,2,0
1601553723,0,13
1601554923,2,9
1601556124,4,6
1601557323,2,4
1601557924,2,1
1601559124,1,0
1601559724,4,24
1601560324,0,41
1601561524,9,6
1601562723,0,9
1601563923,3,0
1601565124,4,1
1601565724,0,16
1601566923,6,21
1601568123,3,7
1601568723,0,8
1601569924,1,0
1601570524,4,5
1601571124,0,1
1601572324,1,11
1601572923,4,2
1601574124,3,8
1601574724,0,4
1601575923,0,10
1601576523,0,3
1601577124,1,3
1601578924,2,2
1601580123,3,4
1601580724,2,0
1601581324,0,6
1601582524,1,9
1601583723,3,0
1601584924,1,11
1601585523,2,0
1601587323,2,3
1601588523,7,21
1601589724,2,0
1601590323,2,4
1601590924,0,7
1601591524,8,0
1601592124,0,4
1601593324,4,2
1601594523,3,2
1601595124,0,8
1601596324,1,3
1601596924,3,0
1601598123,2,3
1601599323,3,0
1601599923,3,7
1601601724,3,1
1601602923,3,0
1601604124,5,49
1601605323,20,19
1601605924,7,0
1601606524,7,0
1601607724,2,22
1601608324,7,3
1601608924,1,8
1601610124,3,0
1601610724,2,0
1601611324,0,7
1601612524,0,2
1601613723,1,0
1601614924,3,7
1601615523,0,13
1601616124,0,16
1601617323,1,0
1601619124,3,9
1601620923,3,0
1601622124,2,0
1601622723,3,10
1601623323,1,0
1601624524,1,75
1601626324,1,13
1601627524,0,12
1601628123,0,8
1601628723,1,5
1601629924,2,9
1601630523,2,0
1601631124,3,0
1601632323,0,46
1601632924,1,13
1601634123,1,46
1601634724,2,0
1601635324,0,26
1601636524,3,0
1601637723,1,2
1601638324,1,10
1601638923,2,35
1601640123,1,0
1601641323,0,1
1601641924,0,22
1601643123,0,17
1601644057,3,51
1601645524,1,9
1601646123,1,0
1601647924,5,55
1601649723,2,4
1601650323,1,0
1601651523,1,14
1601652123,1,13
1601653923,0,4
1601654523,5,10
1601655724,7,1
1601656324,10,0
1601658123,2,17
1601659324,0,12
1601660524,0,14
1601661723,12,0
1601662323,1,14
1601664123,0,2
1601665324,3,32
1601665923,3,0
1601666523,0,18
1601667123,0,16
1601668324,2,0
1601668923,1,5
