DateTime,AddedIPs,RemovedIPs
1600962018,1,1
1600963928,1,0
1600965880,0,2
1600967776,1,3
1600969945,2,2
1600971859,0,4
1600973797,2,3
1600975692,0,2
1600979539,0,1
1600981455,0,2
1600983437,1,1
1600986308,1,5
1600988167,3,0
1600990088,2,2
1600992077,2,2
1600993934,3,0
1600995833,1,2
1600999938,0,1
1601005689,0,1
1601007640,3,1
1601009541,0,3
1601011480,2,1
1601013418,2,1
1601015306,1,0
1601019214,2,1
1601021167,1,1
1601022997,1,0
1601024896,2,0
1601026811,3,1
1601028800,1,0
1601032614,2,1
1601034515,1,0
1601036484,0,1
1601038380,4,0
1601042256,5,1
1601044389,3,0
1601046326,2,1
1601048212,1,1
1601050125,0,1
1601053989,2,1
1601055979,0,1
1601057786,1,1
1601059717,1,2
1601061636,1,0
1601063530,1,0
1601067395,1,0
1601069304,0,1
1601071376,1,0
1601073396,0,4
1601075291,1,2
1601077212,1,3
1601079154,0,1
1601081070,1,3
1601083003,0,1
1601090668,1,0
1601094532,8,3
1601098568,3,1
1601100520,3,2
1601102412,1,1
1601104330,3,0
1601106277,1,3
1601108170,4,1
1601110097,5,1
1601112037,3,3
1601113927,0,2
1601117834,1,2
1601119707,2,0
1601121692,2,1
1601123584,3,4
1601127413,1,3
1601129338,0,4
1601131531,0,3
1601133393,4,0
1601135292,1,1
1601137262,1,0
1601139154,0,1
1601141052,3,1
1601142996,2,0
1601144888,5,2
1601146840,5,0
1601148761,3,1
1601150756,1,0
1601152613,3,0
1601154517,1,1
1601156414,0,1
1601158328,1,0
1601160283,0,1
1601162172,2,0
1601164094,0,1
1601166034,1,0
1601167930,1,1
1601169851,2,0
1601175725,0,2
1601177532,0,2
1601179503,2,2
1601181619,0,6
1601183536,3,0
1601185482,0,3
1601187369,4,2
1601189295,0,1
1601191255,0,2
1601193133,1,1
1601195077,2,3
1601196971,1,7
1601199139,0,1
1601201086,1,0
1601203015,3,0
1601204902,3,1
1601206809,3,4
1601208757,1,2
1601210655,4,1
1601212581,2,4
1601216412,2,0
1601218355,2,3
1601220255,2,2
1601222191,2,0
1601224115,4,1
1601227001,2,2
1601228908,0,2
1601230823,0,4
1601232758,0,6
1601234678,0,3
1601238515,2,3
1601240490,0,2
1601242387,4,0
1601244352,9,1
1601246206,2,0
1601248369,2,1
1601256254,2,1
1601258332,2,0
1601260354,1,0
1601264172,5,0
1601266134,3,0
1601268017,4,0
1601269932,4,0
1601271900,2,0
1601273773,1,0
1601275692,1,0
1601277638,1,0
1601279554,2,0
1601281456,2,0
1601283399,1,0
1601295180,1,0
1601297072,1,11
1601302837,2,1
1601308619,2,0
1601310529,2,0
1601312538,1,0
1601314359,2,0
1601316300,1,0
1601318171,3,0
1601320114,2,0
1601322016,4,1
1601323969,1,1
1601325939,1,34
1601327771,1,2
1601329732,1,6
1601331610,3,3
1601333558,1,4
1601335520,1,0
1601339341,2,0
1601341446,0,1
1601343455,0,3
1601345678,1,0
1601347777,1,1
1601349610,1,3
1601351529,0,3
1601353478,1,5
1601355373,0,3
1601357294,0,4
1601360411,1,3
1601362331,2,1
1601364288,0,2
1601366171,1,2
1601368089,2,1
1601370989,7,1
1601372892,2,0
1601376754,3,0
1601378687,1,0
1601380579,2,0
1601382499,0,2
1601388503,0,1
1601390413,0,1
1601392362,0,1
1601394253,0,2
1601396176,1,2
1601398117,0,1
1601400016,5,1
1601401934,0,1
1601403973,0,6
1601406266,0,2
1601408192,0,5
1601410122,2,1
1601412015,3,0
1601413962,0,2
1601415904,3,1
1601418026,2,3
1601419931,1,1
1601421854,1,1
1601423801,1,0
1601425717,1,2
1601431711,0,1
1601433614,2,0
1601435621,4,2
1601437457,3,0
1601439474,4,1
1601441288,2,0
1601443231,6,0
1601445132,1,0
1601447076,3,1
1601448986,7,2
1601450890,6,1
1601452872,1,1
1601454734,2,3
1601456897,1,4
1601458840,2,4
1601460736,1,0
1601462677,1,3
1601466488,5,2
1601468473,2,1
1601474195,1,0
1601480904,2,0
1601482866,1,1
1601484751,1,2
1601486707,2,2
1601490527,3,0
1601492543,2,0
1601494392,4,0
1601496294,5,1
1601498172,4,3
1601500104,2,0
1601502041,0,1
1601503965,1,4
1601505853,3,1
1601507775,2,1
1601509722,4,1
1601511613,3,0
1601513778,0,1
1601519797,1,2
1601521701,1,3
1601523925,4,4
1601526095,4,3
1601527981,1,2
1601529910,2,7
1601532485,2,2
1601534396,2,2
1601537606,0,14
1601539521,2,0
1601541643,2,2
1601545451,0,2
1601547398,1,1
1601550497,1,1
1601552432,0,3
1601554329,2,4
1601556274,2,0
1601558186,2,0
1601560095,1,0
1601562042,0,2
1601563937,4,0
1601565883,0,2
1601567832,1,0
1601569691,1,2
1601573768,1,2
1601575602,0,1
1601577403,4,3
1601579301,2,4
1601581230,2,2
1601583157,0,4
1601585054,1,3
1601587221,1,0
1601589170,1,0
1601591056,0,2
1601592987,0,2
1601594915,5,4
1601596905,2,3
1601598756,1,1
1601600931,2,0
1601602848,1,0
1601604778,1,1
1601606681,0,1
1601608579,1,2
1601610498,0,3
1601612679,2,4
1601616492,2,2
1601618569,0,2
1601620593,0,2
1601622767,2,0
1601624657,1,0
1601626571,0,2
1601628515,1,2
1601630462,2,0
1601632462,3,1
1601634488,8,0
1601636496,1,1
1601638373,1,0
1601640255,1,2
1601644100,0,4
1601646010,1,0
1601647964,0,1
1601649854,1,4
1601651773,0,1
1601653696,0,2
1601655623,1,1
1601659453,3,0
1601661438,2,1
1601663295,3,3
1601665305,1,1
1601667235,2,3
1601669096,5,0
1601670971,1,1
1601672962,0,1
1601674812,1,0
1601676758,0,1
1601680744,1,4
1601682757,2,3
1601684649,0,1
1601686574,1,1
1601688514,1,2
1601690534,2,1
1601692357,2,0
1601694259,1,0
1601696198,6,2
1601698097,5,1
1601700013,7,1
1601701957,2,1
1601703850,6,1
1601705770,3,0
1601707711,10,1
1601709610,6,2
1601711528,5,0
1601713477,5,0
1601715406,3,0
1601717294,3,3
1601719271,4,3
1601721134,0,7
1601723297,4,1
1601725208,0,1
1601727154,2,1
1601729053,3,1
1601730969,1,0
1601732917,3,1
1601734809,4,0
1601736730,1,1
1601740570,1,0
1601742489,1,1
1601744486,3,1
1601746333,3,2
1601748254,2,2
1601750196,0,3
1601752100,3,1
1601754012,5,2
1601755961,12,5
1601757853,4,1
1601759775,3,0
1601761715,3,1
1601763612,4,0
1601765531,3,0
1601767482,6,2
1601769371,3,1
1601771294,4,0
1601773320,1,1
1601775139,9,1
1601777073,7,2
1601779002,5,2
1601780903,3,3
1601782817,8,6
1601784761,2,5
1601786659,2,7
1601788570,4,3
1601790520,6,5
1601792413,5,4
1601794333,11,9
1601796279,9,7
1601798177,0,6
1601800091,0,4
1601802122,2,2
1601803940,0,5
1601805854,3,2
1601807797,3,1
1601809711,2,4
1601811610,1,0
1601813564,0,2
1601815451,2,3
1601817372,0,1
1601819318,0,3
1601821212,0,4
1601823132,0,1
1601825088,4,0
1601826973,1,1
1601828892,1,1
1601830893,7,3
1601832741,0,3
1601834653,0,2
1601836603,1,0
1601838495,2,3
1601840415,5,5
1601842364,2,10
1601844254,5,4
1601846178,1,3
1601848121,3,3
1601850015,1,4
1601851936,3,3
1601853883,2,5
1601855779,5,3
1601857694,5,4
1601859689,10,1
1601861531,4,9
1601863461,2,7
1601865396,5,5
1601867298,5,3
1601869114,7,7
1601870926,0,1
1601872839,5,3
1601874791,0,4
1601876652,4,6
1601878576,4,4
1601880533,1,11
1601882447,4,7
1601884357,4,2
1601886296,4,0
1601888225,5,2
1601890117,1,0
1601892098,2,3
1601893963,0,3
1601896100,0,2
1601898012,1,1
1601899964,1,0
1601901855,0,2
1601903775,1,1
1601905721,2,0
1601907617,5,0
1601911480,0,4
1601913372,0,1
1601915534,6,1
1601917461,2,7
1601919407,8,0
1601921298,3,0
1601923216,5,1
1601925163,4,3
1601927052,4,4
1601928973,2,5
1601930918,3,3
1601932813,1,1
1601934731,11,0
1601936685,2,1
1601938572,4,3
1601940738,1,3
1601942655,2,5
1601944604,3,6
1601946497,2,8
1601948417,0,5
1601950362,0,1
1601952256,0,5
1601954173,0,6
1601956307,2,7
1601958278,1,3
1601960174,2,2
1601962090,0,2
1601964102,1,3
1601965943,0,3
1601967860,1,4
1601969798,0,4
1601971699,0,3
1601973613,1,5
1601975564,0,3
1601977454,0,1
1601979376,1,2
1601985135,0,4
1601987079,0,1
1601988972,0,1
1601990894,0,1
1601992852,0,3
1601994738,1,4
1602000496,5,1
1602002419,4,6
1602004358,0,4
1602006252,0,6
1602008171,0,5
1602010118,1,4
1602012013,2,3
1602013934,3,5
1602017772,1,4
1602021634,0,11
1602023535,1,4
1602025480,1,2
1602027378,3,1
1602029298,3,2
1602031238,2,3
1602033379,0,2
1602037239,2,0
1602043000,1,2
1602044896,0,2
1602046886,2,1
1602048769,2,0
1602050656,1,1
1602052578,5,0
1602054530,1,1
1602060279,1,1
1602062173,4,0
1602066253,1,1
