DateTime,AddedIPs,RemovedIPs
1599503581,1,0
1599507181,1,1
1599514381,2,1
1599517981,1,1
1599535982,0,2
1599539581,0,1
1599543181,1,0
1599546781,0,1
1599553982,1,0
1599557581,2,0
1599561182,2,1
1599564781,0,1
1599571981,1,2
1599575581,1,0
1599579181,4,3
1599582781,0,2
1599586381,4,0
1599589982,1,0
1599593581,2,1
1599597181,3,1
1599607981,0,1
1599611581,0,3
1599618781,0,1
1599622382,1,2
1599625982,2,1
1599629581,1,1
1599633181,1,1
1599640381,2,1
1599654782,4,0
1599658381,1,0
1599661981,0,1
1599665581,0,1
1599669182,0,2
1599672781,4,1
1599679981,1,1
1599683582,0,1
1599690781,1,0
1599708782,3,0
1599719582,0,1
1599730382,0,1
1599737581,1,0
1599744781,1,0
1599748381,1,0
1599751982,2,3
1599759181,1,2
1599762782,1,1
1599766381,1,0
1599773582,1,0
1599787981,1,0
1599791582,1,1
1599798782,2,0
1599802381,1,1
1599805981,1,3
1599813181,0,2
1599816781,0,1
1599820382,2,1
1599823982,1,0
1599827581,2,0
1599834782,1,0
1599838381,0,2
1599841981,0,2
1599845581,2,0
1599856381,2,0
1599867181,1,0
1599874382,2,0
1599877981,0,1
1599881582,2,0
1599892381,1,0
1599899582,3,1
1599903181,3,0
1599910381,2,1
1599913981,0,1
1599917581,2,3
1599921181,1,0
1599924782,4,0
1599928381,1,1
1599931981,2,3
1599935581,3,0
1599939181,0,1
1599942781,0,1
1599946381,1,1
1599949981,1,0
1599960781,1,0
1599967981,1,0
1599971581,0,1
1599978781,0,1
1599982382,1,1
1599985982,1,0
1599989582,3,0
1599993181,4,0
1599996782,2,0
1600000381,2,0
1600003981,1,1
1600007581,2,1
1600014781,3,2
1600018381,3,0
1600021981,2,2
1600025581,0,2
1600032781,2,0
1600039981,2,0
1600050782,1,0
1600057982,1,0
1600061582,4,0
1600065181,2,0
1600068782,3,0
1600072381,3,0
1600075982,2,0
1600079581,1,1
1600083181,2,0
1600086782,3,0
1600090382,4,0
1600093981,5,0
1600097581,8,0
1600101181,8,0
1600104781,2,1
1600108381,1,1
1600111981,2,0
1600115581,2,0
1600119181,3,0
1600122781,2,1
1600126381,1,0
1600129981,1,0
1600137181,3,1
1600140782,2,0
1600147981,1,0
1600151581,3,0
1600155181,1,0
1600158784,0,1
1600162382,1,0
1600165982,4,0
