DateTime,AddedIPs,RemovedIPs
1601523031,6,0
1601524225,3,0
1601526627,8,0
1601529326,1,0
1601530231,10,0
1601531724,2,0
1601532626,1,0
1601533225,1,0
1601533828,7,0
1601535024,20,6
1601535927,0,1
1601537723,6,0
1601538626,1,0
1601541031,7,0
1601544628,4,0
1601545826,1,0
1601547328,1,0
1601548230,7,0
1601549424,2,0
1601550328,0,1
1601550925,2,0
1601551828,4,0
1601552727,1,0
1601555428,9,0
1601556325,2,0
1601559027,4,0
1601560226,1,0
1601561126,0,1
1601561424,1,0
1601562627,1,0
1601563824,2,0
1601564124,0,1
1601566228,1,0
1601568926,1,0
1601569826,2,0
1601571025,1,0
1601571926,0,1
1601573427,5,0
1601576123,1,0
1601577029,8,0
1601577926,35,0
1601578226,3,0
1601579125,1,0
1601579726,1,0
1601580627,4,0
1601584230,1,0
1601585128,1,0
1601586324,0,1
1601587827,3,0
1601589026,1,0
1601589323,2,0
1601589927,1,0
1601590528,1,0
1601591429,1,0
1601595029,6,0
1601597724,1,0
1601598629,6,0
1601599525,1,0
1601602226,5,0
1601603127,1,0
1601605828,2,0
1601607925,1,0
1601609427,10,0
1601611525,0,1
1601612424,26,0
1601612725,23,0
1601613027,2,0
1601613925,3,0
1601616627,3,0
1601617526,1,0
1601620227,2,0
1601621126,1,0
1601623826,2,0
1601625024,1,0
1601626224,39,0
1601627427,3,0
1601631027,2,0
1601634023,1,0
1601634630,4,0
1601639127,1,0
1601640928,1,0
1601641828,1,0
1601642727,1,0
1601644526,1,0
1601645429,3,0
1601646625,4,0
1601647525,0,1
1601647824,10,0
1601648424,2,0
1601649027,3,0
1601649926,2,0
1601650524,69,21
1601651127,0,3
1601651728,1,24
1601652628,7,25
1601653525,25,0
1601653824,16,25
1601654426,0,25
1601655025,6,0
1601655327,41,25
1601655925,0,25
1601656227,12,0
1601657128,35,0
1601658324,0,1
1601658926,27,25
1601659828,10,24
1601660726,21,25
1601661928,1,1
1601662225,4,32
1601662528,14,0
1601663431,3,0
1601664325,9,0
1601664923,96,0
1601666126,3,0
1601667029,2,0
1601667927,4,0
1601668524,123,0
1601669724,3,0
1601670628,3,0
1601671524,3,0
1601674230,2,0
1601675127,2,0
1601676029,0,3
1601676926,2,0
1601677525,37,0
1601677828,96,0
1601679925,0,1
1601681428,1,0
1601682624,1,8
1601684126,1,0
1601685030,3,0
1601685926,1,0
1601687726,3,0
1601688628,2,0
1601689527,1,0
1601691327,3,0
1601692226,7,0
1601693127,2,0
1601694926,1,0
1601695828,1,0
1601699428,2,0
1601703029,3,0
1601704224,1,0
1601706626,5,0
1601710226,2,0
1601711126,2,0
1601712928,1,0
1601713825,1,0
1601714726,1,0
1601715324,1,0
1601717426,6,0
1601718326,3,0
1601719526,0,2
1601719824,3,2
1601720129,1,0
1601721030,5,0
1601724625,2,0
1601726728,0,1
1601727024,1,0
1601727328,1,0
1601728230,2,0
1601729128,1,0
1601731829,7,0
1601732728,2,0
1601734225,5,1
1601734523,14,0
1601735124,6,0
1601735427,16,0
1601736325,3,0
1601737825,1,0
1601739028,3,0
1601741724,3,0
1601742626,4,0
1601745324,2,0
1601746229,2,0
1601747127,1,0
1601747427,2,0
1601747723,1,0
1601748624,1,0
1601749828,4,0
1601751023,34,0
1601751927,0,1
1601754628,9,0
1601755824,1,0
1601756125,1,0
1601758223,5,0
1601759124,0,1
1601759726,1,0
1601760628,2,0
1601761827,3,0
1601764227,1,0
1601765126,1,0
1601765425,2,0
1601767826,3,0
1601769026,1,0
1601771427,2,0
1601772324,1,0
1601772625,3,0
1601774126,43,0
1601775025,15,0
1601775925,15,0
1601777728,2,0
1601778629,4,0
1601779524,8,0
1601779825,6,0
1601780123,1,0
1601780424,0,1
1601781025,2,0
1601781326,2,0
1601783126,5,0
1601783427,2,0
1601784926,7,0
1601785829,5,0
1601786726,9,0
1601787027,2,0
1601788527,6,0
1601789430,11,0
1601790325,5,0
1601790923,3,0
1601792127,5,0
1601793030,7,0
1601793928,2,0
1601796629,3,0
1601797525,3,0
1601798123,2,0
1601800229,4,0
1601801128,1,0
1601801424,1,0
1601802326,0,1
1601802625,1,0
1601803829,2,0
1601804725,2,0
1601805027,3,0
1601806528,3,0
1601806826,0,2
1601807427,2,0
1601808624,1,0
1601810124,2,0
1601811027,4,0
1601811925,2,0
1601813729,5,0
1601814629,7,0
1601815527,2,0
1601815824,1,0
1601817326,3,0
1601818228,10,0
1601819126,5,0
1601819426,1,0
1601820928,4,0
1601821827,2,0
1601822727,3,0
1601823026,3,0
1601823324,1,0
1601824525,2,0
1601825427,8,0
1601825723,0,1
1601826325,2,0
1601826923,1,0
1601827526,0,1
1601828126,3,0
1601829026,6,0
1601829928,3,0
1601831726,3,0
1601832626,4,0
1601833527,2,0
1601833828,1,0
1601835328,1,0
1601836227,2,0
1601837424,9,0
1601837723,2,0
1601839826,7,0
1601841025,5,0
1601841322,1,0
1601842526,2,0
1601843426,18,0
1601844324,1,0
